,EASTERN,WESTERN,SOUTHERN,NORTHERN,NORTH EAST
201600,9800,23901,21860,27026,2257
201601,9780,24759,22266,26027,2147
201602,10026,27211,23668,26831,2231
201603,9992,25357,21932,24599,2277
201604,10977,26937,23859,26765,2368
201605,10053,26877,23943,26774,2040
201606,10794,28952,26175,28188,2936
201607,10567,27486,25649,27475,2924
201608,10755,27874,25644,28168,3232
201609,11396,30417,29804,32807,3213
201610,8889,25855,22584,25742,3115
201611,10388,28068,24350,28518,3058
201700,10422,30062,23200,26752,2671
201701,10138,29569,22938,25909,2377
201702,11356,31022,25444,28720,2599
201703,10636,28457,24116,26381,3444
201704,12405,31332,26144,29021,2764
201705,11365,30870,26461,28051,2466
201706,11083,31194,27284,28647,2358
201707,12789,30374,26890,29274,3451
201708,12993,34848,28619,31410,3346
201709,11104,32061,27297,30332,2950
201710,10937,31867,26176,29061,3074
201711,11312,31870,26960,30334,2942
201800,10563,30370,24287,28036,2483
201801,10178,30092,25042,27236,2383
201802,11332,33780,29338,29550,2860
201803,11130,31684,26796,28796,2995
201804,13060,35897,29093,33215,2788
201805,12227,36954,29273,32448,2646
201806,12738,37139,31093,33109,2941
201807,12775,35303,29449,33895,3421
201808,12010,35331,28812,34813,3479
201809,10768,38404,31364,44238,3717
201810,11190,35296,25875,37442,3207
201811,10895,36610,25978,38322,3477
201900,10466,33914,24389,38925,3142
201901,9956,31037,23500,36552,10.1
201902,10773,34111,27150,37972,3217
201903,9920,31427,25356,31894,2913
201904,10755,33121,28672,36263,3229
201905,9173.0,33183.0,27332.0,34734.0,2919.0
201906,12830,35895,28747,36239,2941
201907,13351,36114 ,29570 ,35928 ,2203 
201908,17210,35177 ,28795,34390 ,3479
201909,17303,38481,32053,39619,3717
201910,12213 ,35448,27839,33549,2945 
201911,11020.0,35662.0,27420.0,33556.0,2630.0
202000,11392 ,35836 ,27391 ,33678,3827
202001,11192.0,34770.0,26372.0,30972.0,3026.0
202002,8174,24392,19496,22647,2096
202003,1133.0,17031.0,18844.0,9969.0,263.0
